message_id,text,category,urgency,source
MSG-1010,"Building on fire at the riverside colony, multiple people including young children inside.",Fire,Critical,synthetic
MSG-1424,Requesting food packets for a shelter camp near the government school.,Food,Medium,synthetic
MSG-2097,"No clean drinking water near Mysore Road, people falling sick.",Water,High,synthetic
MSG-1101,"Mobile network down near Whitefield, people unable to call for help.",Infrastructure,High,synthetic
MSG-1002,"Trapped in a car due to flooding near Koramangala, water rising.",Flood/Rescue,Critical,synthetic
MSG-1522,"Families displaced near Marathahalli, looking for temporary shelter.",Shelter,High,synthetic
MSG-1068,"A dozen people including pregnant women are badly injured near Mysore Road, need medical help urgently.",Medical,High,synthetic
MSG-1916,Water levels low at the community tank close to Yelahanka.,Water,Medium,synthetic
MSG-1091,"Ran out of baby food near Hebbal, urgent for infants.",Food,High,synthetic
MSG-1316,Requesting food packets for a shelter camp near Whitefield.,Food,High,synthetic
MSG-1757,Water levels low at the community tank near Indiranagar.,Water,High,synthetic
MSG-1700,Road completely blocked near Yelahanka due to fallen trees.,Infrastructure,Critical,synthetic
MSG-1094,Water levels low at the community tank near Marathahalli.,Water,High,synthetic
MSG-1774,"Sharing updates from local news about Koramangala, nothing urgent.",Other/Irrelevant,Low,synthetic
MSG-1554,"Families displaced near the government school, looking for temporary shelter.",Shelter,Critical,synthetic
MSG-1746,"Building on fire at the riverside colony, multiple people including an infant inside.",Fire,Critical,synthetic
MSG-1888,Bridge near the government school looks structurally unsafe after the storm.,Infrastructure,High,synthetic
MSG-1132,Requesting food packets for a shelter camp near the riverside colony.,Food,Medium,synthetic
MSG-1343,"No clean drinking water near Indiranagar, people falling sick.",Water,Medium,synthetic
MSG-1510,"Minor waterlogging near the government school, roads slow but passable.",Flood/Rescue,Critical,synthetic
MSG-1777,"Homes damaged near Marathahalli, young children need emergency shelter tonight.",Shelter,High,synthetic
MSG-1564,"We have a pregnant woman in labor near Yelahanka, no doctor available.",Medical,Low,synthetic
MSG-1946,"Just checking in, everyone in my family near Marathahalli is safe.",Other/Irrelevant,Medium,synthetic
MSG-1545,"We have a pregnant woman in labor near Anekal, no doctor available.",Medical,High,synthetic
MSG-2050,"No clean drinking water near Anekal, people falling sick.",Water,Medium,synthetic
MSG-1872,Can someone confirm if schools near Whitefield are closed tomorrow?,Other/Irrelevant,Medium,synthetic
MSG-1247,"Building on fire at the riverside colony, multiple people including several families inside.",Fire,Critical,synthetic
MSG-1278,"No clean drinking water near the highway bridge area, people falling sick.",Water,High,synthetic
MSG-1715,"Ran out of baby food near Jayanagar, urgent for infants.",Food,Critical,synthetic
MSG-2134,"Someone collapsed near the riverside colony, breathing heavily, please send an ambulance.",Medical,Medium,synthetic
MSG-1614,"Building on fire at Anekal, multiple people including pregnant women inside.",Fire,High,synthetic
MSG-1684,"We have a pregnant woman in labor near Indiranagar, no doctor available.",Medical,Medium,synthetic
MSG-1588,"Camp near the riverside colony is over capacity, need additional shelter space.",Shelter,High,synthetic
MSG-1237,"Mobile network down near the old bus stand area, people unable to call for help.",Infrastructure,Medium,synthetic
MSG-1143,Bridge near Jayanagar looks structurally unsafe after the storm.,Infrastructure,High,synthetic
