message_id,text,category,urgency_level,provenance,urgency_label_source
1,"No food distribution has reached Station Road yet, unconscious",Food,Critical,synthetic,keyword_tier_heuristic
2,"Need an ambulance at East Ward, my neighbor collapsed",Medical,Critical,synthetic,keyword_tier_heuristic
3,"Need an ambulance at Palm Grove, a group of people on fire",Medical,Critical,synthetic,keyword_tier_heuristic
4,"Water levels water rising slowly at Harbor District, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
5,"Power lines down at Green Valley, roof caving in",Infrastructure,High,synthetic,keyword_tier_heuristic
6,"Random test message, please ignore, sent from Green Valley",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
7,"Need food supplies delivered to Marina Road, cannot move",Food,Critical,synthetic,keyword_tier_heuristic
8,"Sharing an update, everything seems calm near Hilltop Nagar today same location as before",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
9,"Main road to Marina Road blocked by debris, just checking in",Infrastructure,Low,synthetic,keyword_tier_heuristic
10,"Requesting ration kits for North Bridge, requesting information",Food,Low,synthetic,keyword_tier_heuristic
11,"Need food supplies delivered to Millbrook, needs help soon same location as before",Food,Medium,synthetic,keyword_tier_heuristic
12,"Kitchen fire at Fairview Estate, buried under rubble, please respond",Fire,Critical,synthetic,keyword_tier_heuristic
13,"Building smoke everywhere at North Bridge, smoke visible for miles",Fire,High,synthetic,keyword_tier_heuristic
14,"Water levels collapsed at Central Market, families are stranded",Flood/Rescue,Critical,synthetic,keyword_tier_heuristic
15,"Bridge near Sunrise Township is damaged, power has been out, road unsafe",Infrastructure,Medium,synthetic,keyword_tier_heuristic
16,"Communication tower near Kings Cross is down, rising water fast",Infrastructure,High,synthetic,keyword_tier_heuristic
17,"Need water tanker sent to Koramangala, buried under rubble",Water,Critical,synthetic,keyword_tier_heuristic
18,"Power lines down at Harbor District, child missing",Infrastructure,High,synthetic,keyword_tier_heuristic
19,"Water levels gas leak at Hilltop Nagar, families are stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
20,"Fire spreading fast near Sunrise Township, my whole family collapsed",Fire,Critical,synthetic,keyword_tier_heuristic
21,"Someone collapsed at Palm Grove, low on supplies, need doctor urgently",Medical,Medium,synthetic,keyword_tier_heuristic
22,Medical emergency at North Bridge - an unknown man drowning,Medical,Critical,synthetic,keyword_tier_heuristic
23,"Need food supplies delivered to Old Town, minor injury",Food,Medium,synthetic,keyword_tier_heuristic
24,"the shopkeeper is low on supplies near Lakeview Apartments, please send medical help",Medical,Medium,synthetic,keyword_tier_heuristic
25,"Main road to North Bridge blocked by debris, power has been out",Infrastructure,Medium,synthetic,keyword_tier_heuristic
26,"Drinking water contaminated at Lakeview Apartments, power has been out",Water,Medium,synthetic,keyword_tier_heuristic
27,"Requesting tents and shelter material at Harbor District, not breathing",Shelter,Critical,synthetic,keyword_tier_heuristic
28,"Requesting ration kits for Station Road, on fire",Food,Critical,synthetic,keyword_tier_heuristic
29,"Kitchen fire at Marina Road, cardiac arrest, please respond",Fire,Critical,synthetic,keyword_tier_heuristic
30,"Fire spreading fast near Rosewood Lane, the shopkeeper cannot move",Fire,Critical,synthetic,keyword_tier_heuristic
31,Is there a helpline number for general questions about Harbor District?,Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
32,"We are trapped by flood water near Koramangala, buried under rubble",Flood/Rescue,Critical,synthetic,keyword_tier_heuristic
33,"Power lines down at Kings Cross, low on supplies",Infrastructure,Medium,synthetic,keyword_tier_heuristic
34,"Homes destroyed near Green Valley, families need shelter, water rising slowly",Shelter,Medium,synthetic,keyword_tier_heuristic
35,"Water supply cut off at East Ward, road partially blocked, many households affected",Water,Medium,synthetic,keyword_tier_heuristic
36,"Fire spreading fast near Central Market, an elderly woman injured",Fire,High,synthetic,keyword_tier_heuristic
37,"Sharing an update, everything seems calm near North Bridge today",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
38,"Families at Palm Grove have run out of food, feeling unwell",Food,Medium,synthetic,keyword_tier_heuristic
39,"Fire spreading fast near Millbrook, a child cardiac arrest",Fire,Critical,synthetic,keyword_tier_heuristic
40,"Fire spreading fast near Riverside Colony, a child road partially blocked",Fire,Medium,synthetic,keyword_tier_heuristic
41,"River overflowing near Station Road, severe pain, send rescue team",Flood/Rescue,High,synthetic,keyword_tier_heuristic
42,"No clean water available at Koramangala for two days, stranded",Water,High,synthetic,keyword_tier_heuristic
43,"Water levels needs help soon at Sector 12, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
44,"Water supply cut off at Rosewood Lane, non-urgent request, many households affected",Water,Low,synthetic,keyword_tier_heuristic
45,"Need food supplies delivered to Old Town, child missing",Food,High,synthetic,keyword_tier_heuristic
46,"Water supply cut off at Whitefield, not breathing, many households affected",Water,Critical,synthetic,keyword_tier_heuristic
47,"Temporary shelter overcrowded at Fairview Estate, buried under rubble",Shelter,Critical,synthetic,keyword_tier_heuristic
48,"Homes destroyed near Sunrise Township, families need shelter, power has been out",Shelter,Medium,synthetic,keyword_tier_heuristic
49,"No clean water available at Station Road for two days, drowning",Water,Critical,synthetic,keyword_tier_heuristic
50,"Need an ambulance at Green Valley, a child trapped",Medical,Critical,synthetic,keyword_tier_heuristic
51,"Someone collapsed at Palm Grove, smoke everywhere, need doctor urgently",Medical,High,synthetic,keyword_tier_heuristic
52,"Requesting ration kits for Rosewood Lane, drowning",Food,Critical,synthetic,keyword_tier_heuristic
53,"Someone collapsed at Fairview Estate, on fire, need doctor urgently",Medical,Critical,synthetic,keyword_tier_heuristic
54,"We are trapped by flood water near Lakeview Apartments, minor injury",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
55,"Bridge near Marina Road is damaged, low on supplies, road unsafe",Infrastructure,Medium,synthetic,keyword_tier_heuristic
56,"No clean water available at Lakeview Apartments for two days, roof caving in",Water,High,synthetic,keyword_tier_heuristic
57,"River overflowing near Sector 12, elderly stuck, send rescue team",Flood/Rescue,High,synthetic,keyword_tier_heuristic
58,"Need food supplies delivered to Green Valley, general inquiry same location as before",Food,Low,synthetic,keyword_tier_heuristic
59,"Flooding at Sector 12, my sister injured, need boat rescue",Flood/Rescue,High,synthetic,keyword_tier_heuristic
60,"Random test message, please ignore, sent from Lakeview Apartments",Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
61,"Building buried under rubble at Harbor District, smoke visible for miles",Fire,Critical,synthetic,keyword_tier_heuristic
62,"We are trapped by flood water near Riverside Colony, stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
63,"Fire reported at Palm Grove, minor injury, need fire brigade immediately same location as before",Fire,Medium,synthetic,keyword_tier_heuristic
64,"Kitchen fire at Whitefield, cardiac arrest, please respond",Fire,Critical,synthetic,keyword_tier_heuristic
65,"Need water tanker sent to Harbor District, smoke everywhere",Water,High,synthetic,keyword_tier_heuristic
66,"Requesting ration kits for Koramangala, drowning",Food,Critical,synthetic,keyword_tier_heuristic
67,"Main road to Koramangala blocked by debris, minor leak",Infrastructure,Low,synthetic,keyword_tier_heuristic
68,Is there a helpline number for general questions about Hilltop Nagar?,Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
69,"Power lines down at Riverside Colony, road partially blocked",Infrastructure,Medium,synthetic,keyword_tier_heuristic
70,"Fire reported at Riverside Colony, not breathing, need fire brigade immediately",Fire,Critical,synthetic,keyword_tier_heuristic
71,"Families at Palm Grove have run out of food, water rising slowly",Food,Medium,synthetic,keyword_tier_heuristic
72,"Building cannot move at Sunrise Township, smoke visible for miles",Fire,Critical,synthetic,keyword_tier_heuristic
73,"Fire spreading fast near Green Valley, an elderly woman bleeding heavily",Fire,Critical,synthetic,keyword_tier_heuristic
74,"the shopkeeper is trapped near East Ward, please send medical help",Medical,Critical,synthetic,keyword_tier_heuristic
75,"We are trapped by flood water near Kings Cross, power has been out",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
76,"Power lines down at Riverside Colony, feeling unwell",Infrastructure,Medium,synthetic,keyword_tier_heuristic
77,"Flooding at Millbrook, my father minor injury, need boat rescue",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
78,"Kitchen fire at North Bridge, injured, please respond",Fire,High,synthetic,keyword_tier_heuristic
79,"Requesting tents and shelter material at Sunrise Township, child missing",Shelter,High,synthetic,keyword_tier_heuristic
80,"Bridge near Station Road is damaged, gas leak, road unsafe",Infrastructure,High,synthetic,keyword_tier_heuristic
81,"River overflowing near Millbrook, needs help soon, send rescue team",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
82,Medical emergency at North Bridge - an elderly woman drowning,Medical,Critical,synthetic,keyword_tier_heuristic
